Ml_num,Ml_num,predict,actual,diff,diff_perc
W8018542,W8018542,1918685.9,1970000,-51314.125,0.026
N7010352,N7010352,3341673.8,3065000,276673.75,0.0903
W7388606,W7388606,947069.06,918441,28628.0625,0.0312
S7338024,S7338024,994473.3,990000,4473.3125,0.0045
W8024878,W8024878,1089880.6,1185000,-95119.375,0.0803
N7206864,N7206864,864452.8,836000,28452.8125,0.034
W7406546,W7406546,917903.06,900000,17903.0625,0.0199
N7380746,N7380746,982700.44,970000,12700.4375,0.0131
W7345968,W7345968,881457.56,870000,11457.5625,0.0132
N8013840,N8013840,1571308.8,1638000,-66691.25,0.0407
N7404932,N7404932,1228419.9,1355000,-126580.125,0.0934
W7285698,W7285698,2516990.2,2200000,316990.25,0.1441
W8014652,W8014652,1273406.4,1261000,12406.375,0.0098
N7391826,N7391826,894847.0,899000,-4153.0,0.0046
N8016912,N8016912,959917.5,1403000,-443082.5,0.3158
W8028014,W8028014,979919.6,998000,-18080.375,0.0181
N7060426,N7060426,489471.2,595200,-105728.8125,0.1776
W8009572,W8009572,1464417.6,1360000,104417.625,0.0768
W7395230,W7395230,1773740.9,1710788,62952.875,0.0368
E7315222,E7315222,926967.0,925000,1967.0,0.0021
E7392290,E7392290,880664.06,823500,57164.0625,0.0694
N8029878,N8029878,1369047.9,1450000,-80952.125,0.0558
W8012738,W8012738,1391319.5,1390000,1319.5,0.0009
S7333214,S7333214,894048.8,880000,14048.8125,0.016
W6706284,W6706284,2445541.5,2111000,334541.5,0.1585
E7364554,E7364554,792940.06,858000,-65059.9375,0.0758
W8024740,W8024740,1264954.8,1275000,-10045.25,0.0079
W7400742,W7400742,837008.94,816000,21008.9375,0.0257
E8019846,E8019846,610732.5,788000,-177267.5,0.225
N8017662,N8017662,1367510.1,1505000,-137489.875,0.0914
N8017518,N8017518,1650125.0,1580000,70125.0,0.0444
E8029796,E8029796,700943.94,750000,-49056.0625,0.0654
N8016596,N8016596,1029875.0,1018000,11875.0,0.0117
N8015356,N8015356,1469583.2,1455000,14583.25,0.01
N8014028,N8014028,1868169.0,2100000,-231831.0,0.1104
N8010554,N8010554,1372313.4,1603000,-230686.625,0.1439
N8009816,N8009816,958780.7,1246000,-287219.3125,0.2305
N7394266,N7394266,1087303.5,1250000,-162696.5,0.1302
N7378416,N7378416,891512.4,882500,9012.375,0.0102
N7358136,N7358136,10054790.0,9250000,804790.0,0.087
N7334446,N7334446,3229593.0,3050000,179593.0,0.0589
E8030548,E8030548,752300.6,780000,-27699.375,0.0355
N8010574,N8010574,683844.0,820000,-136156.0,0.166
E8021574,E8021574,1171132.4,1410000,-238867.625,0.1694
E8027464,E8027464,850475.8,1080000,-229524.1875,0.2125
E8026844,E8026844,1094494.1,1000000,94494.125,0.0945
E8024374,E8024374,798492.4,831000,-32507.625,0.0391
E8022136,E8022136,727336.3,785000,-57663.6875,0.0735
E8021672,E8021672,800828.2,930000,-129171.8125,0.1389
E8019158,E8019158,903514.75,878000,25514.75,0.0291
E8016922,E8016922,988894.2,991000,-2105.8125,0.0021
E8016600,E8016600,1071216.5,1231000,-159783.5,0.1298
E8016582,E8016582,850190.3,1051000,-200809.6875,0.1911
E8016494,E8016494,1093637.4,1250000,-156362.625,0.1251
E8016160,E8016160,976591.0,1225000,-248409.0,0.2028
E8016036,E8016036,979726.6,1319000,-339273.375,0.2572
N8022158,N8022158,991971.56,1250000,-258028.4375,0.2064
E8015802,E8015802,1050014.0,1079000,-28986.0,0.0269
N8022024,N8022024,823604.3,1055000,-231395.6875,0.2193
W8017894,W8017894,939986.6,949999,-10012.375,0.0105
N8023478,N8023478,782316.8,930000,-147683.1875,0.1588
